Word,POS Tag,Frequency
sehat,ADJ,35596
bpjs,NOUN,22373
serta,CONJ,18830
kerja,NOUN,13305
jamin,PROPN,10102
layan,NOUN,9014
kelas,NOUN,8511
program,NOUN,7840
rp,PROPN,7625
perintah,NOUN,7228
rumah,NOUN,6537
ketenagakerjaan,NOUN,6403
bayar,NOUN,6032
masyarakat,NOUN,5888
iur,NOUN,5353
data,NOUN,4667
bpjs,PROPN,4656
menteri,NOUN,4655
tingkat,NOUN,4598
atur,NOUN,4378
nomor,NOUN,4283
manfaat,NOUN,4263
bantu,NOUN,4175
biaya,NOUN,4118
daftar,NOUN,4070
sakit,NOUN,4006
indonesia,PROPN,3984
milik,NOUN,3646
sakit,ADJ,3553
orang,NOUN,3538
fasilitas,NOUN,3502
jkn,NOUN,3492
persen,NOUN,3425
rawat,NOUN,3417
iur,NUM,3305
usaha,NOUN,3175
layan,NUM,3104
upah,NOUN,2959
jakarta,PROPN,2933
dana,NOUN,2909
standar,ADJ,2879
nasional,ADJ,2799
tanggung,NOUN,2775
uang,NOUN,2755
sosial,NOUN,2729
sesuai,ADP,2696
bpjs,NUM,2674
terima,VERB,2668
indonesia,NOUN,2642
kris,PROPN,2557
laku,NOUN,2554
pasien,NOUN,2527
klaim,NOUN,2505
ruang,NOUN,2484
obat,NOUN,2441
presiden,NOUN,2414
juta,NUM,2352
sistem,NOUN,2310
hasil,NOUN,2305
jalan,NOUN,2297
kait,NOUN,2268
akses,NOUN,2172
juta,NOUN,2156
kartu,NOUN,2123
inap,ADJ,2113
badan,NOUN,2101
terap,NOUN,2088
informasi,NOUN,2069
direktur,NOUN,2060
aplikasi,NOUN,2050
salah,DET,2044
negara,NOUN,2031
cnbc,PROPN,1990
sosial,ADJ,1957
triliun,NOUN,1955
rs,PROPN,1924
besar,ADJ,1919
dokter,NOUN,1904
butuh,VERB,1872
penuh,ADJ,1837
mudah,ADJ,1837
proses,NOUN,1835
to,PROPN,1833
utama,ADJ,1829
selenggara,NOUN,1810
lindung,NOUN,1759
gaji,NOUN,1752
with,PROPN,1743
aktif,ADJ,1740
continue,NOUN,1738
syarat,NOUN,1738
layan,PROPN,1721
naik,VERB,1721
jkn,NUM,1717
tentu,ADV,1713
tarif,NOUN,1689
operasi,NOUN,1669
daerah,NOUN,1657
capai,NOUN,1651
tahap,NOUN,1644
kantor,NOUN,1634
anggota,NOUN,1581
masuk,VERB,1576
gigi,NOUN,1542
ribu,NOUN,1535
upaya,NOUN,1532
subsidi,NOUN,1527
nilai,NOUN,1513
scroll,PROPN,1497
laksana,NOUN,1462
keluarga,NOUN,1453
celaka,NOUN,1448
terima,NOUN,1428
wajib,NOUN,1418
tahun,NOUN,1413
asuransi,NOUN,1389
kota,NOUN,1366
pbi,PROPN,1361
pasal,NOUN,1352
tetap,ADV,1335
tidur,NOUN,1316
total,NOUN,1315
tugas,NOUN,1311
hubung,NOUN,1299
ghufron,NOUN,1290
awat,NOUN,1289
ikut,VERB,1270
kondisi,NOUN,1266
langsung,ADJ,1249
sakit,VERB,1202
ekonomi,NOUN,1195
pandemi,NOUN,1190
dasar,NOUN,1180
jknkis,NOUN,1170
bangun,NOUN,1157
mobile,NOUN,1138
cabang,NOUN,1131
surat,NOUN,1131
rencana,NOUN,1130
tangan,NOUN,1125
mandiri,ADJ,1121
hadir,VERB,1118
pilih,NOUN,1114
budi,NOUN,1112
status,NOUN,1108
tenaga,NOUN,1101
pres,NOUN,1101
kriteria,NOUN,1090
sebut,VERB,1089
kabupaten,NOUN,1080
bijak,NOUN,1078
cepat,ADJ,1077
tindak,NOUN,1076
vaksin,NOUN,1073
kepala,NOUN,1064
jenis,NOUN,1063
dasar,ADJ,1062
warga,NOUN,1060
publik,NOUN,1058
beri,VERB,1052
dpr,PROPN,1051
turut,ADV,1046
periksa,NOUN,1043
cnn,PROPN,1040
online,ADJ,1039
coba,NOUN,1036
akibat,NOUN,1032
anak,NOUN,1028
hak,NOUN,1026
swasta,ADJ,1026
bank,NOUN,1023
salur,NOUN,1020
dapat,ADV,1019
investasi,NOUN,1011
putus,NOUN,1009
dewan,NOUN,1008
sedia,NOUN,996
resmi,ADJ,994
uji,NOUN,988
content,PROPN,987
kali,NOUN,986
iur,PROPN,985
risiko,NOUN,980
tinggal,VERB,976
ubah,NOUN,971
komisi,NOUN,967
turun,VERB,966
implementasi,NOUN,961
lanjut,ADJ,956
harga,NOUN,953
dampak,NOUN,952
rujuk,VERB,948
sesuai,ADJ,939
terang,NOUN,931
kualitas,NOUN,930
lengkap,ADJ,927
cair,ADJ,927
maksimal,ADJ,924
wilayah,NOUN,919
selain,ADP,918
jadi,VERB,911
lembaga,NOUN,911
ketua,NOUN,899
ketenagakerjaan,PROPN,893
ali,NOUN,892
kelola,NOUN,892
jht,NOUN,892
batas,NOUN,891
terima,ADV,890
usia,NOUN,885
medis,NOUN,883
phk,NOUN,878
ri,PROPN,871
jokowi,PROPN,866
anggar,NOUN,865
buka,NOUN,863
khusus,ADJ,862
ia,PRON,861
dalam,ADP,858
namun,CONJ,858
selesai,VERB,857
rekening,NOUN,855
oleh,ADP,852
negeri,NOUN,847
pusat,NOUN,845
digital,ADJ,840
selasa,NOUN,839
bentuk,NOUN,831
hitung,NOUN,829
vaksinasi,NOUN,826
bidang,NOUN,824
buruh,NOUN,817
mukti,PROPN,806
advertisement,NOUN,801
harap,X,797
target,NOUN,796
kurang,ADV,794
sementara,CONJ,791
awas,NOUN,790
ida,PROPN,789
administrasi,NOUN,788
kena,NOUN,786
advertisement,PROPN,781
sebab,CONJ,779
pensiun,NOUN,776
beban,NOUN,764
bagi,ADP,762
miliar,NOUN,761
content,NOUN,758
untuk,ADP,757
komitmen,NOUN,756
sektor,NOUN,756
catat,NOUN,754
aku,PRON,734
satu,DET,733
kamar,NOUN,728
ya,X,721
duduk,VERB,720
kuat,ADJ,719
angka,NOUN,717
rapat,NOUN,708
inovasi,NOUN,707
bp,PROPN,696
faskes,NOUN,693
dunia,NOUN,693
hal,NOUN,690
kab,PROPN,688
darah,NOUN,686
alami,ADJ,686
jaga,NOUN,686
isi,NOUN,685
tulis,VERB,683
harap,NOUN,680
iii,PROPN,679
desa,NOUN,676
pegawai,NOUN,672
tiga,NUM,669
ix,PROPN,668
verifikasi,NOUN,667
ubah,VERB,665
guna,ADP,664
calon,NOUN,662
