Judul;Link;Tanggal
BPJS Watch ingatkan kepala daerah lindungi pekerja badan Ad Hoc;https://www.antaranews.com/berita/4349295/bpjs-watch-ingatkan-kepala-daerah-lindungi-pekerja-badan-ad-hoc;Kemarin 15:14
BPJS Kesehatan Jakpus sosialisasikan pelayanan mudah bagi peserta JKN;https://www.antaranews.com/berita/4329499/bpjs-kesehatan-jakpus-sosialisasikan-pelayanan-mudah-bagi-peserta-jkn;12 September 2024
Wapres minta BPJS Ketenagakerjaan jangkau pekerja kawasan terpencil;https://www.antaranews.com/berita/4327879/wapres-minta-bpjs-ketenagakerjaan-jangkau-pekerja-kawasan-terpencil;12 September 2024
Pemkab Sidoarjo lindungi ribuan RT/RW dengan BPJS Ketenagakerjaan;https://www.antaranews.com/berita/4326687/pemkab-sidoarjo-lindungi-ribuan-rt-rw-dengan-bpjs-ketenagakerjaan;11 September 2024
Anggota DPR dorong konstituen jadi peserta BPJS Ketenagakerjaan;https://www.antaranews.com/berita/4317803/anggota-dpr-dorong-konstituen-jadi-peserta-bpjs-ketenagakerjaan;8 September 2024
BPJS Kesehatan perluas layanan online hingga ke nagari;https://www.antaranews.com/berita/4315687/bpjs-kesehatan-perluas-layanan-online-hingga-ke-nagari;7 September 2024
BPJS-Pemprov Babel kerja sama jaminan sosial tenaga kerja;https://www.antaranews.com/berita/4310307/bpjs-pemprov-babel-kerja-sama-jaminan-sosial-tenaga-kerja;5 September 2024
BPJS Yogyakarta gencarkan layanan daring jangkau peserta pelosok desa;https://www.antaranews.com/berita/4308855/bpjs-yogyakarta-gencarkan-layanan-daring-jangkau-peserta-pelosok-desa;4 September 2024
Siak daftarkan 2.889 pekebun sawit terlindungi BPJS Ketenagakerjaan;https://www.antaranews.com/berita/4308619/siak-daftarkan-2889-pekebun-sawit-terlindungi-bpjs-ketenagakerjaan;4 September 2024
BPJS Kesehatan Curup: Rejang Lebong miliki tujuh Desa Pesiar;https://www.antaranews.com/berita/4305999/bpjs-kesehatan-curup-rejang-lebong-miliki-tujuh-desa-pesiar;3 September 2024
BPJS Ketenagakerjaan Surakarta serahkan santunan kepada ahli waris PMI;https://www.antaranews.com/berita/4305103/bpjs-ketenagakerjaan-surakarta-serahkan-santunan-kepada-ahli-waris-pmi;3 September 2024
BPJS Kesehatan tanamkan perilaku sehat bantu hemat anggaran;https://www.antaranews.com/berita/4294535/bpjs-kesehatan-tanamkan-perilaku-sehat-bantu-hemat-anggaran;29 Agustus 2024
BPJS Kesehatan tekankan pentingnya deteksi dini penyakit;https://www.antaranews.com/berita/4293399/bpjs-kesehatan-tekankan-pentingnya-deteksi-dinipenyakit;28 Agustus 2024
Bey: Baru 31 persen pekerja Jabar yang terlindung BPJS Ketenagakerjaan;https://www.antaranews.com/berita/4284479/bey-baru-31-persen-pekerja-jabar-yang-terlindung-bpjs-ketenagakerjaan;25 Agustus 2024
BPJS Ketenagakerjaan serahkan santunan kepada ahli waris nelayan;https://www.antaranews.com/berita/4279331/bpjs-ketenagakerjaan-serahkan-santunan-kepada-ahli-waris-nelayan;22 Agustus 2024
Pemerintah Desa Senggigi alokasikan Rp1,8 miliar untuk BPJS Kesehatan;https://www.antaranews.com/video/4273555/pemerintah-desa-senggigi-alokasikan-rp18-miliar-untuk-bpjs-kesehatan;20 Agustus 2024
BPJS Kesehatan: Sejuta peserta JKN di Bogor nunggak iuran;https://www.antaranews.com/berita/4263403/bpjs-kesehatan-sejuta-peserta-jkn-di-bogor-nunggak-iuran;15 Agustus 2024
Pemkot Jakpus sosialisasi program BPJS Naker kepada 100 kader TP PKK;https://www.antaranews.com/berita/4256339/pemkot-jakpus-sosialisasi-program-bpjs-naker-kepada-100-kader-tp-pkk;13 Agustus 2024
BPJS Kesehatan Lubuklinggau realisasikan UHC empat daerah 100 persen;https://www.antaranews.com/berita/4244351/bpjs-kesehatan-lubuklinggau-realisasikan-uhc-empat-daerah-100-persen;7 Agustus 2024
BPJS Ketenagakerjaan anugerahi Paritrana Award kepada Jhonlin Group;https://www.antaranews.com/berita/4241031/bpjs-ketenagakerjaan-anugerahi-paritrana-award-kepada-jhonlin-group;6 Agustus 2024
DPR desak BPJS Kesehatan perkuat pengawasan cegah klaim fiktif;https://www.antaranews.com/berita/4234575/dpr-desak-bpjs-kesehatan-perkuat-pengawasan-cegah-klaim-fiktif;2 Agustus 2024
BPJS Ketenagakerjaan Sidoarjo serahkan 13.249 kartu pekerja rentan;https://www.antaranews.com/berita/4232051/bpjs-ketenagakerjaan-sidoarjo-serahkan-13249-kartu-pekerja-rentan;1 Agustus 2024
Anggota DPR minta usut tuntas kasus dugaan klaim fiktif BPJS Kesehatan;https://www.antaranews.com/berita/4231967/anggota-dpr-minta-usut-tuntas-kasus-dugaan-klaim-fiktif-bpjs-kesehatan;1 Agustus 2024
"Strategi BPJS Kesehatan ""berpesiar"" perluas kepesertaan JKN";https://www.antaranews.com/berita/4227871/strategi-bpjs-kesehatan-berpesiar-perluas-kepesertaan-jkn;31 Juli 2024
BPJS Kesehatan jadi syarat pengurusan SKCK di Surabaya;https://www.antaranews.com/berita/4225139/bpjs-kesehatan-jadi-syarat-pengurusan-skck-di-surabaya;29 Juli 2024
Ketika berbagai kemudahan diberikan oleh BPJS Kesehatan;https://www.antaranews.com/berita/4224735/ketika-berbagai-kemudahan-diberikan-oleh-bpjs-kesehatan;29 Juli 2024
