Title,Link,Date
"Kelas 1,2,3 Bakal Dihapus, Cek Iuran BPJS Kesehatan 23 September 2024",https://www.cnbcindonesia.com/news/20240922222617-4-573678/kelas-123-bakal-dihapus-cek-iuran-bpjs-kesehatan-23-september-2024,13 jam yang lalu
"Kelas BPJS 1, 2, 3 Dihapus Jokowi, Cek Iuran Terkini",https://www.cnbcindonesia.com/news/20240922080603-4-573594/kelas-bpjs-1-2-3-dihapus-jokowi-cek-iuran-terkini,1 hari yang lalu
"BPJS Kesehatan Ungkap 3 RS Manipulasi Klaim, Bikin Negara Boncos",https://www.cnbcindonesia.com/news/20240920071902-4-573199/bpjs-kesehatan-ungkap-3-rs-manipulasi-klaim-bikin-negara-boncos,3 hari yang lalu
"Wajib Tahu, 5 Jenis Operasi Ini Tak Ditanggung BPJS Kesehatan",https://www.cnbcindonesia.com/lifestyle/20240919071855-33-572872/wajib-tahu-5-jenis-operasi-ini-tak-ditanggung-bpjs-kesehatan,4 hari yang lalu
"RI Siap Punya BBM Baru Low Sulfur, Luhut Sebut Bisa Tekan Subsidi BPJS",https://www.cnbcindonesia.com/news/20240917140717-4-572393/ri-siap-punya-bbm-baru-low-sulfur-luhut-sebut-bisa-tekan-subsidi-bpjs,6 hari yang lalu
"Jokowi Hapus Kelas BPJS 1,2,3, Cek Iuran per 17 September 2024",https://www.cnbcindonesia.com/news/20240917091811-4-572270/jokowi-hapus-kelas-bpjs-123-cek-iuran-per-17-september-2024,6 hari yang lalu
"Duh! Bos BPJS TK Ungkap 2,8 Juta Pekerja RI Rentan Jatuh Ekstrem",https://www.cnbcindonesia.com/lifestyle/20240915181126-33-572029/duh-bos-bpjs-tk-ungkap-28-juta-pekerja-ri-rentan-jatuh-ekstrem,1 minggu yang lalu
21 Penyakit yang Pengobatannya Tak Gratis Meski Pakai BPJS,https://www.cnbcindonesia.com/lifestyle/20240517092335-33-538907/21-penyakit-yang-pengobatannya-tak-gratis-meski-pakai-bpjs,1 minggu yang lalu
"RI Sedang Musim PHK, Tingkat Klaim BPJS TK Meningkat",https://www.cnbcindonesia.com/research/20240912080858-128-571208/ri-sedang-musim-phk-tingkat-klaim-bpjs-tk-meningkat,1 minggu yang lalu
Jangan Salah! 5 Jenis Operasi Ini Tak Ditanggung BPJS Kesehatan,https://www.cnbcindonesia.com/lifestyle/20240907142645-33-569980/jangan-salah-5-jenis-operasi-ini-tak-ditanggung-bpjs-kesehatan,2 minggu yang lalu
"Beda Iuran Dana Pensiun Wajib & JHT BPJS TK, Pekerja Wajib Tahu",https://www.cnbcindonesia.com/market/20240907130834-17-569974/beda-iuran-dana-pensiun-wajib-jht-bpjs-tk-pekerja-wajib-tahu,2 minggu yang lalu
"Kelas BPJS 1,2,3 Segera Dihapus, Cek Iuran per 6 September 2024",https://www.cnbcindonesia.com/news/20240906091253-4-569661/kelas-bpjs-123-segera-dihapus-cek-iuran-per-6-september-2024,2 minggu yang lalu
"Cara Scaling Gigi Gratis Pakai BPJS Kesehatan, Cek Syaratnya!",https://www.cnbcindonesia.com/lifestyle/20240905092758-33-569289/cara-scaling-gigi-gratis-pakai-bpjs-kesehatan-cek-syaratnya,2 minggu yang lalu
Alasan Operasi Akibat Kecelakaan Tak Ditanggung BPJS Kesehatan,https://www.cnbcindonesia.com/lifestyle/20240828141635-33-567108/alasan-operasi-akibat-kecelakaan-tak-ditanggung-bpjs-kesehatan,2 minggu yang lalu
"Cek Layanan ke Peserta, Dirut BPJS Ketenagakerjaan Sambangi Gorontalo",https://www.cnbcindonesia.com/news/20240903194230-4-568884/cek-layanan-ke-peserta-dirut-bpjs-ketenagakerjaan-sambangi-gorontalo,2 minggu yang lalu
"5 Jenis Operasi Tidak Ditanggung BPJS Kesehatan, Ada Operasi Kanker?",https://www.cnbcindonesia.com/news/20240831200725-4-568089/5-jenis-operasi-tidak-ditanggung-bpjs-kesehatan-ada-operasi-kanker,3 minggu yang lalu
"Syarat Klaim BPJS Ketenagakerjaan 2024, Bisa Buat Cicil Rumah",https://www.cnbcindonesia.com/lifestyle/20240831104553-33-567971/syarat-klaim-bpjs-ketenagakerjaan-2024-bisa-buat-cicil-rumah,3 minggu yang lalu
"Kelas 1,2,3 Dihapus, Cek Tarif BPJS Kesehatan per 30 Agustus 2024",https://www.cnbcindonesia.com/news/20240830060811-4-567624/kelas-123-dihapus-cek-tarif-bpjs-kesehatan-per-30-agustus-2024,3 minggu yang lalu
"5 Operasi yang Tidak Ditanggung BPJS Kesehatan, Wajib Tahu!",https://www.cnbcindonesia.com/lifestyle/20240828113744-33-567047/5-operasi-yang-tidak-ditanggung-bpjs-kesehatan-wajib-tahu,3 minggu yang lalu
"Daftar 21 Layanan Kesehatan Tidak Dijamin BPJS, Wajib Tahu!",https://www.cnbcindonesia.com/lifestyle/20240826092543-33-566294/daftar-21-layanan-kesehatan-tidak-dijamin-bpjs-wajib-tahu,4 minggu yang lalu
"Petaka Kenaikan PPN Hingga Iuran BPJS di 2025, Pengusaha Minta Ditunda",https://www.cnbcindonesia.com/news/20240822123750-8-565486/petaka-kenaikan-ppn-hingga-iuran-bpjs-di-2025-pengusaha-minta-ditunda,1 bulan yang lalu
2025 Bakal Jadi Petaka: Rakyat RI Bayar Mahal untuk Minuman Manis-BPJS,https://www.cnbcindonesia.com/research/20240821075732-128-564997/2025-bakal-jadi-petaka-rakyat-ri-bayar-mahal-untuk-minuman-manis-bpjs,1 bulan yang lalu
"Iuran BPJS Naik di 2025, Ini Penjelasan 2 Menteri Jokowi",https://www.cnbcindonesia.com/news/20240819072808-4-564314/iuran-bpjs-naik-di-2025-ini-penjelasan-2-menteri-jokowi,1 bulan yang lalu
"2025 Banyak Cobaan: Harga BBM, LPG, BPJS & PPN Diprediksi Naik",https://www.cnbcindonesia.com/news/20240817184457-4-564104/2025-banyak-cobaan-harga-bbm-lpg-bpjs-ppn-diprediksi-naik,1 bulan yang lalu
Cara & Syarat Klaim Kacamata Gratis Pakai BPJS Kesehatan,https://www.cnbcindonesia.com/lifestyle/20240813105555-33-562599/cara-syarat-klaim-kacamata-gratis-pakai-bpjs-kesehatan,1 bulan yang lalu
"Disebut akan Naik, Segini Iuran BPJS Kesehatan Berlaku 12 Agustus 2024",https://www.cnbcindonesia.com/news/20240812061836-4-562141/disebut-akan-naik-segini-iuran-bpjs-kesehatan-berlaku-12-agustus-2024,1 bulan yang lalu
"Menkes Bocorkan 'Sosok' Penolak Kelas 1,2,3 BPJS Kesehatan Dihapus",https://www.cnbcindonesia.com/news/20240809161430-4-561834/menkes-bocorkan-sosok-penolak-kelas-123-bpjs-kesehatan-dihapus,1 bulan yang lalu
21 Layanan Kesehatan Tak Ditanggung BPJS Kesehatan Mulai Agustus 2024,https://www.cnbcindonesia.com/lifestyle/20240809122355-33-561720/21-layanan-kesehatan-tak-ditanggung-bpjs-kesehatan-mulai-agustus-2024,1 bulan yang lalu
"Iuran BPJS Kesehatan Disebut Waktunya Naik, Ini Kata Menteri Jokowi",https://www.cnbcindonesia.com/news/20240809141204-4-561764/iuran-bpjs-kesehatan-disebut-waktunya-naik-ini-kata-menteri-jokowi,1 bulan yang lalu
"Sinyal Kuat dari Bos BPJS Kesehatan, Iuran Kelas 1 dan 2 Bakal Naik",https://www.cnbcindonesia.com/news/20240809083629-4-561651/sinyal-kuat-dari-bos-bpjs-kesehatan-iuran-kelas-1-dan-2-bakal-naik,1 bulan yang lalu
"Terbaru! Menkes Buka Suara Soal Hapus Kelas 1,2,3 BPJS Kesehatan",https://www.cnbcindonesia.com/news/20240808111150-4-561340/terbaru-menkes-buka-suara-soal-hapus-kelas-123-bpjs-kesehatan,1 bulan yang lalu
Daftar Iuran BPJS Kesehatan Berlaku Rabu 7 Agustus 2024,https://www.cnbcindonesia.com/news/20240807082705-4-560993/daftar-iuran-bpjs-kesehatan-berlaku-rabu-7-agustus-2024,1 bulan yang lalu
Menkes Bongar Alasan Penerapan KRIS BPJS - Integrasi Data Kesehatan,https://www.cnbcindonesia.com/news/20240806161624-8-560855/menkes-bongar-alasan-penerapan-kris-bpjs--integrasi-data-kesehatan,1 bulan yang lalu
Modus 3 Rumah Sakit Tipu BPJS hingga Bikin Rugi Negara Rp34 Miliar,https://www.cnbcindonesia.com/news/20240804135150-4-560218/modus-3-rumah-sakit-tipu-bpjs-hingga-bikin-rugi-negara-rp34-miliar,1 bulan yang lalu
"Daftar Iuran BPJS Kesehatan Kelas 1,2,3 Berlaku Agustus 2024",https://www.cnbcindonesia.com/news/20240802084837-4-559776/daftar-iuran-bpjs-kesehatan-kelas-123-berlaku-agustus-2024,1 bulan yang lalu
21 Layanan Kesehatan Tak Ditanggung BPJS Kesehatan Per Agustus 2024,https://www.cnbcindonesia.com/lifestyle/20240801113551-33-559487/21-layanan-kesehatan-tak-ditanggung-bpjs-kesehatan-per-agustus-2024,1 bulan yang lalu
"Menguak Aksi Tipu-tipu RS ke BPJS Kesehatan, KPK Turun Tangan!",https://www.cnbcindonesia.com/news/20240729061735-4-558281/menguak-aksi-tipu-tipu-rs-ke-bpjs-kesehatan-kpk-turun-tangan,1 bulan yang lalu
"Terkuak, Modus Penipuan Rp 34 Miliar Rumah Sakit ke BPJS Kesehatan",https://www.cnbcindonesia.com/news/20240728155434-4-558228/terkuak-modus-penipuan-rp-34-miliar-rumah-sakit-ke-bpjs-kesehatan,1 bulan yang lalu
RS Resah Ada Pembatasan Tindakan Medis Ke Pasien Oleh BPJS Kesehatan,https://www.cnbcindonesia.com/news/20240726114709-8-557846/rs-resah-ada-pembatasan-tindakan-medis-ke-pasien-oleh-bpjs-kesehatan,1 bulan yang lalu
Segini Besaran Biaya Cuci Darah yang Ditanggung BPJS Kesehatan,https://www.cnbcindonesia.com/lifestyle/20240728103746-33-558197/segini-besaran-biaya-cuci-darah-yang-ditanggung-bpjs-kesehatan,1 bulan yang lalu
