Judul,Link,Kategori,Tanggal Upload
OJK Klarifikasi soal Dana Pensiun Tak Bisa Cair Selama 10 Tahun,https://www.cnnindonesia.com/ekonomi/20240908115431-532-1142215/ojk-klarifikasi-soal-dana-pensiun-tak-bisa-cair-selama-10-tahun,Ekonomi,1 hari yang lalu
"Mariyati, AgenBRILink Pahlawan Inklusi Keuangan di Pulau Lae-lae",https://www.cnnindonesia.com/ekonomi/20240906123904-625-1141714/mariyati-agenbrilink-pahlawan-inklusi-keuangan-di-pulau-lae-lae,Ekonomi,3 hari yang lalu
Kolaborasi BPJS Ketenagakerjaan Lindungi Pekerja di Bangka Belitung,https://www.cnnindonesia.com/ekonomi/20240905173516-625-1141442/kolaborasi-bpjs-ketenagakerjaan-lindungi-pekerja-di-bangka-belitung,Ekonomi,4 hari yang lalu
BPJS Ketenagakerjaan Rapatkan Barisan dengan Peserta di Harpelnas 2024,https://www.cnnindonesia.com/nasional/20240904183231-25-1141035/bpjs-ketenagakerjaan-rapatkan-barisan-dengan-peserta-di-harpelnas-2024,Nasional,5 hari yang lalu
Bos Bapanas Buka Suara soal Peluang Korban PHK Dapat Bantuan Pangan,https://www.cnnindonesia.com/ekonomi/20240904150339-92-1140937/bos-bapanas-buka-suara-soal-peluang-korban-phk-dapat-bantuan-pangan,Ekonomi,5 hari yang lalu
"Jokowi Rilis INA Digital Bertahap, Permudah Birokrasi-Cegah Korupsi",https://www.cnnindonesia.com/nasional/20240903192514-20-1140640/jokowi-rilis-ina-digital-bertahap-permudah-birokrasi-cegah-korupsi,Nasional,5 hari yang lalu
Curhat Risma Kala Mau Bantu Korban PHK,https://www.cnnindonesia.com/ekonomi/20240903184708-532-1140623/curhat-risma-kala-mau-bantu-korban-phk,Ekonomi,6 hari yang lalu
RSUD Pirngadi Medan Bantah Pasien Meninggal karena Kehabisan Obat,https://www.cnnindonesia.com/nasional/20240903161050-20-1140558/rsud-pirngadi-medan-bantah-pasien-meninggal-karena-kehabisan-obat,Nasional,6 hari yang lalu
Cara Perpanjang SIM dan STNK Bulan September 2024,https://www.cnnindonesia.com/otomotif/20240902165514-579-1140231/cara-perpanjang-sim-dan-stnk-bulan-september-2024,Otomotif,7 hari yang lalu
"Jamsostek Mobile, Aksi Nyata Transformasi Digital BPJS Ketenagakerjaan",https://www.cnnindonesia.com/ekonomi/20240831131010-625-1139673/jamsostek-mobile-aksi-nyata-transformasi-digital-bpjs-ketenagakerjaan,Ekonomi,9 hari yang lalu
