title;url;text;date;tags
Buka-bukaan BPJS Kesehatan, Banyak RS 'Nakal' Bikin Klaim Palsu-Overbilling;https://health.detik.com/berita-detikhealth/d-7548897/buka-bukaan-bpjs-kesehatan-banyak-rs-nakal-bikin-klaim-palsu-overbilling;"Jakarta-Direktur Utama BPJS Kesehatan Ali Ghufron Mukti buka-bukaan soal adanya dugaan kecurangan yang dilakukan tiga rumah sakit di Jawa Tengah dan Sumatera Utara. Saat ini, BPJS Kesehatan tengah mendalami temuan tersebut.Temuan fraud dengan kasus tagihan fiktif yang dilakukan sejumlah rumah sakit tersebut ditemukan tim yang terdiri dari Komisi Pemberantasan Korupsi (KPK), BPJS Kesehatan, Kementerian Kesehatan (Kemenkes), Badan Pengawasan Keuangan dan Pembangunan (BPKP).""Kalau BPJS Kesehatan (sanksinya) pemutusan hubungan kerja dan dananya harus dikembalikan. Untuk selanjutnya, dikembalikan ke KPK,"" tutur Ali Ghufron saat ditemui di Jakarta Pusat, Kamis (19/9/2024).ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTBeragam Modus 'Nakal' Rumah SakitKPK menemukan tiga rumah sakit tersebut melakukan praktik nakal rekayasa dokumen. Selain itu, jenis kecurangan lain yang dilakukan yakni memanipulasi diagnosis dan tindakan, penjiplakan klaim dari pasien lain (cloning), penggelembungan tagihan obat atau alat kesehatan serta hal lain yang tidak sesuai indikasi medis.Ali Ghufron mengungkap ada juga praktik phantom billing atau rumah sakit mengajukan klaim atas pemeriksaan pasien atau tindakan medis yang sebenarnya tidak mereka lakukan.Modus itu dilakukan pihak RS dengan membuat acara bakti sosial untuk mengumpulkan data-data pribadi seperti kartu tanda penduduk, kartu keluarga, dan nomor kartu BPJS.""Kalau ketahuan ya bisa dihukum,"" tutur Ali.NEXT: Negara Rugi Rp 35 MiliarHalaman12SelanjutnyaSimak Video """"[Gambas:Video 20detik]
Hasil audit berbagai pihak dengan BPJS Kesehatan menunjukkan adanya jumlah kerugian cukup besar yang harus ditanggung negara akibat phantom billing.Salah satu RS di Jawa Tengah dengan dugaan fraud sebesar Rp 29,4 miliar dari 22.550 kasus; RS di Sumatera Utara dengan dugaan fraud sebesar Rp 4,2 miliar dari 1620 kasus; serta RS di Sumatera Utara dengan dugaan fraud sebesar Rp 1,5 miliar dengan 841 Kasus.""Kita juga akan membentuk whistleblowing system, jadi masyarakat kalau setelah pelayanan bisa memberi rating ke rumah sakit. Nanti (fasilitas kesehatan) yang bagus kita bisa beri penghargaan. Tidak cuma itu, pasien juga bisa lapor, misal ada (RS) yang klaim ventilator tapi dia (pasien) nggak di ventilator. Begitu model-modelnya,"" tutur Ali Ghufron.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTPraktik nakal semacam ini, lanjut Ali Ghufron juga telah ditemukan BPJS Kesehatan pada tahun lalu. Pihaknya menemukan fraud dengan total Rp 866 miliar. Menyusul temuan tersebut, BPJS Kesehatan memperkuat ekosistem anti kecurangan melalui berbagai cara, salah satunya dengan membentuk 1.947 tim anti kecurangan JKN yang tersebar di seluruh Indonesia.Halaman12Tampilkan SemuaSimak Video """"[Gambas:Video 20detik](dpy/sao)";Jumat, 20 Sep 2024 06:00 WIB;bpjs kesehatan, klaim palsu, phantom billing, fraud kesehatan, rumah sakit nakal
Temuan Praktik 'Nakal' RS ke BPJS Kesehatan: Pasien Bodong sampai Overbilling;https://health.detik.com/berita-detikhealth/d-7547876/temuan-praktik-nakal-rs-ke-bpjs-kesehatan-pasien-bodong-sampai-overbilling;"Jakarta-BPJS Kesehatan menemukan adanya dugaan fraud atau kecurangan pada fasilitas pelayanan kesehatan (fasyankes) yang terafiliasi dengan Program Jaminan Kesehatan Nasional (JKN). Total kerugian negara akibat dugaan fraud itu disebut mencapai puluhan miliar.Direktur Utama BPJS Kesehatan Prof Ali Ghufron Mukti menjelaskan kecurangan tersering yang ditemukan terdiri atas berbagai modus, seperti excessive usage atau penggunaan untuk hal yang tidak perlu, overbilling sampai phantom billing, klaim palsu tanpa disertai tindakan atau pasien bodong.""Kita juga akan membentuk whistleblowing system, jadi masyarakat kalau setelah pelayanan bisa memberi rating ke rumah sakit. Nanti (fasilitas kesehatan) yang bagus kita bisa beri penghargaan. Tidak cuma itu, pasien juga bisa lapor, misal ada (RS) yang klaim ventilator tapi dia (pasien) nggak di ventilator. Begitu model-modelnya,"" tutur Ali Ghufron saat ditemui di Jakarta Pusat, Kamis (19/9/2024).ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTAda juga temuan modus phantom billing, ketika RS mengajukan klaim atas pemeriksaan pasien atau tindakan medis yang sebenarnya tidak ada. Modus itu dilakukan pihak RS dengan membuat acara bakti sosial untuk mengumpulkan data-data pribadi seperti kartu tanda penduduk, kartu keluarga, dan nomor kartu BPJS.""Kalau ketahuan ya bisa dihukum,"" tutur dia.Tahun lalu, Ali Ghufron mengungkap BPJS Kesehatan menemukan fraud dengan total Rp 866 miliar. Menyusul temuan tersebut BPJS Kesehatan memperkuat ekosistem anti kecurangan melalui berbagai cara, yang salah satunya dengan membentuk 1.947 tim anti kecurangan JKN yang tersebar di seluruh Indonesia.(kna/naf)";Kamis, 19 Sep 2024 14:02 WIB;klaim palsu, kecurangan rumah sakit, pasien bodong, fraud bpjs
BPJS Kesehatan Ungkap 3 RS Manipulasi Klaim, Negara Rugi Rp 34 Miliar;https://health.detik.com/berita-detikhealth/d-7547687/bpjs-kesehatan-ungkap-3-rs-manipulasi-klaim-negara-rugi-rp-34-miliar;"Jakarta-BPJS Kesehatan bersama dengan Komisi Pemberantasan Korupsi (KPK) mengungkap temuan fraud dengan kasus tagihan fiktif yang dilakukan oleh sejumlah rumah sakit.Dugaan kecurangan ini ditemukan oleh tim yang terdiri dari KPK, BPJS Kesehatan, Kementerian Kesehatan, serta Badan Pengawasan Keuangan dan Pembangunan (BPKP). Ketiga rumah sakit tersebut berlokasi di Jawa Tengah dan Sumatera Utara.Direktur Utama BPJS Kesehatan Prof Ali Ghufron Mukti mengatakan saat ini pihaknya sedang mendalami temuan tersebut. Sanksi berupa denda sampai pemutusan kerja sama dengan BPJS Kesehatan akan segera ditindaklanjuti.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT""Kalau BPJS Kesehatan (sanksinya) pemutusan hubungan kerja dan dananya harus dikembalikan. Untuk selanjutnya, dikembalikan ke KPK,"" tutur Ali Ghufron saat ditemui di Jakarta Pusat, Kamis (19/9/2024).Temuan KPK menemukan tiga rumah sakit melakukan phantom billing atau merekayasa dokumen. Selain itu jenis kecurangan yang dilakukan yakni memanipulasi diagnosis dan/atau tindakan, penjiplakan klaim dari pasien lain (cloning), penggelembungan tagihan obat atau alat kesehatan dan lain-lain yang tidak sesuai indikasi medis.Hasil audit dengan pihak BPJS Kesehatan menunjukkan setidaknya ada tiga rumah sakit yang diketahui terlibat phantom billing yakni salah satu RS di Jawa Tengah dengan dugaan fraud sebesar Rp 29,4 miliar dari 22.550 kasus; RS di Sumatera Utara dengan dugaan fraud sebesar Rp 4,2 miliar dari 1620 kasus; serta RS di Sumatera Utara dengan dugaan fraud sebesar Rp 1,5 miliar dengan 841 Kasus.(kna/kna)";Kamis, 19 Sep 2024 12:28 WIB;penggelembungan tagihan, bpjs kesehatan, manipulasi klaim, phantom billing, fraud kesehatan, rumah sakit
Berantas Rumah Sakit 'Nakal' Pelaku Klaim BPJS Palsu;https://health.detik.com/detikhealth/d-7466486/berantas-rumah-sakit-nakal-pelaku-klaim-bpjs-palsu;"Jakarta-Baru-baru ini Menteri Kesehatan RIBudi Gunadi Sadikinkembali membahas tentang temuan kasus klaim BPJS palsu yang dilakukan tiga Rumah Sakit di Sumatera Utara dan Jawa Tengah. Ia menandaskan bahwa temuan ini merupakan fakta yang berhasil dicek oleh Komisi Pemberantasan Korupsi (KPK).Lebih lanjut, Budi mengatakan bahwa Kemenkes masuk dalam kasus ini karena dilihat sebagai payung dari seluruh kebijakan yang ada. ia mengatakan bahwa pihaknya akan mengambil sikap kepada pelaku kecurangan. Ia juga mendorong Rumah Sakit lain untuk tidak ikut-ikutan melakukan praktik yang sama.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT""Jadi tugas kita adalah mendisiplinkan. Banyak kok rumah sakit yang bagus, tapi ada juga beberapa yang nakal. Nggak sempurna, itu yang mesti kita rapikan supaya rumah sakit-rumah sakit yang nakal-nakal ini bisa didisiplinkan,"" katanya.Mengutip daridetikHealth, KPK telah menemukan hasil kecurangan RS di Jawa Tengah yang menyebabkan kerugian terbesar sebanyak Rp 29,5 miliar dari 22.550 klaim fiktif. Sementara itu, dua RS di Sumatera Utara diketahui telah membuat 1.620 klaim palsu senilai Rp 4,2 miliar dan 841 klaim palsu dengan perkiraan angka Rp 1,5 miliar.Sementara itu, mengutip daridetikFinance, Kepala HumasBPJSKesehatan Rizzky Anugerah menjelaskan bahwa modus yang ditemukan antara lain menaikkan jumlah tagihan, menjiplak klaim pasien, serta menambahkan jumlah obat yang masuk dalam laporan klaim.""Beberapa jenis kecurangan yang dilakukan oleh fasilitas kesehatan di antaranya memanipulasi diagnosis dan/atau tindakan, penjiplakan klaim dari pasien lain (cloning), klaim palsu (phantom billing), penggelembungan tagihan obat dan/atau alat kesehatan (Inflated bills), pemecahan episode pelayanan yang tidak sesuai dengan indikasi medis, dan lain-lain,"" jelasnya, dikutip daridetikFinanceSelasa, 30 Juli 2024.Terkait hal ini, Juru Bicara KPK Tessa Mahardika menjelaskan bahwa masih ada sejumlah RS yang masuk dalam proses pemeriksaan atas kasus serupa. Lalu, sanksi apa yang yang akan diganjar oleh RS 'nakal' tersebut? Seberapa besar dampak dari kasus klaim BPJS palsu ini terhadap sistem kesehatan nasional dan keuangan BPJS Kesehatan? ikuti ulasannya bersama Redaktur PelaksanadetikHealthdalam Editorial Review.Sementara itu, di penghujung sore ini, Sunsetalk akan kembali menghadirkan Chief Digital Officer InvestasiKu Firman Marihot untuk mengulas ilmu-ilmu keuangan kekinian. Sore ini, tema diskusi yang akan diulas adalah FOMO sebagai manivestasi buruk keuangan pribadi. Bagaimana cara menghindarinya? Ikuti diskusinya jelang matahari tenggelam nanti.Ikuti terus ulasan mendalam berita-berita hangatdetikcomdalam sehari yang disiarkan secara langsung langsung (live streaming) pada Senin-Jumat, pukul 15.30-18.00 WIB, di 20.detik.com dan TikTokdetikcom. Jangan ketinggalan untuk mengikuti analisis pergerakan pasar saham jelang penutupan IHSG di awal acara. Sampaikan komentar Anda melalui kolom live chat yang tersedia.(vys/vys)";Rabu, 31 Jul 2024 14:57 WIB;bpjs, detik sore
Persi Kutuk Keras RS yang Curangi Klaim BPJS;https://health.detik.com/detiktv/d-7467310/persi-kutuk-keras-rs-yang-curangi-klaim-bpjs;Jakarta-Komisi Pemberantasan Korupsi (KPK) ungkap adanya 6 rumah sakit yang mengakali tagihan BPJS. Perhimpunan Rumah Sakit Seluruh Indonesia (Persi) kutuk keras tindakan oknum RS tersebut.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT(/);Rabu, 31 Jul 2024 21:12 WIB;persi, bpjs, rumah sakit, kpk
BPJS Kesehatan Launching Layanan Face Recognition, Upayakan Keamanan Data;https://health.detik.com/berita-detikhealth/d-7428361/bpjs-kesehatan-launching-layanan-face-recognition-upayakan-keamanan-data;"Jakarta-BPJS Kesehatan meluncurkan inovasi digital Face Recognition BPJS Kesehatan (FRISTA) untuk memudahkan pelayanan kepada peserta Jaminan Kesehatan Nasional (JKN). Sistem ini disebut memungkinkan autentikasi pengguna menggunakan fitur wajah.""Teknologi ini memiliki potensi besar dalam memastikan bahwa hanya peserta yang berhak yang dapat mengakses layanan JKN. Ini juga merupakan langkah besar dalam mencegah penipuan dan penyalahgunaan identitas,"" beber Direktur Utama BPJS Kesehatan Ali Ghufron Mukti dalam konferensi pers, Senin (8/7/2024).Implementasi layanan ini juga berintegrasi dengan data yang ada di Dukcapil untuk verifikasi. Melihat banyaknya data yang diperlukan, BPJS Kesehatan menyebut melakukan manajemen perlindungan berlapis demi memastikan data tidak bocor.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT""Kami di BPJS Kesehatan sangat concern tentang data security ya... Kita berupaya ya karena ada perlindungan data pribadi dan kita jaga agar nggak sampai bocor,"" beber dia.Mengenai implementasi FRISTA, Ali Ghufron mengatakan akan dilakukan secara nasional pada layanan JKN. Inovasi ini diharapkan mampu meningkatkan efisiensi dan efektivitas layanan JKN.(kna/up)";Senin, 08 Jul 2024 14:00 WIB;bpjs, face recognition bpjs kesehatan, bpjs kesehatan
Bos BPJS Isyaratkan Tunggakan 28 Juta Peserta Bisa Saja 'Dibebaskan';https://health.detik.com/berita-detikhealth/d-7378076/bos-bpjs-isyaratkan-tunggakan-28-juta-peserta-bisa-saja-dibebaskan;"Jakarta-Badan Penyelenggara Jaminan Sosial (BPJS) Kesehatan saat ini mencatat ada sekitar 28 juta peserta menunggak atau belum membayar iuran bulanan. Dari angka tersebut, BPJS Kesehatan 'merugi' lebih dari Rp 20 triliun.Direktur Utama BPJS Kesehatan Ali Ghufron Mukti memberikan isyarat kepada peserta BPJS Kesehatan yang menunggak untuk bisa diputihkan atau digratiskan. Namun, lanjut Ali, meringankan atau memotong jumlah iuran justru merupakan hal yang lebih bijak.""Yang menunggak itu sejumlah 28 juta orang. Angkanya Rp 20 triliun lebih. Jadi kalau mau diputihkan kalau saya setuju-setuju saja. Tetapi mungkin diringankan lebih bagus,"" ujar Ali dalam Rapat Kerja bersama Komisi IX DPR RI, Kamis (6/6/2024).ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTAli menambahkan, terkait pemutihan tunggakan peserta BPJS Kesehatan yang menunggak, dirinya akan sangat berhati-hati, pasalnya ada Undang-Undang yang tak membolehkan BPJS mengubah laporan keuangan.""Karena di dalam Undang-Undang tentang BPJS itu, BPJS dan yang lain tidak boleh mengubah atas laporan keuangan ini. Biasanya BPK nanti yang memeriksa, dianggap ini adalah pemasukan dari uang negara, piutang negara. Maka ini secara hukum yang benar nanti untuk bisa penghapusan atau peringanan,"" kata Ali.Menurut Ali, meskipun tidak diputihkan, memberikan keringan kepada para peserta BPJS Kesehatan yang menunggak bayar sudah mampu mendorong mereka untuk menyelesaikan kewajibannya.""Waktu diringankan itu malah masuk, malah bisa dikejar. Tapi kalau tidak itu biasanya waktu sakit dia baru ingat kalau punya utang. Akhirnya bingung melunasi atau tidak melunasi,"" tutupnya.(naf/naf)";Kamis, 06 Jun 2024 18:01 WIB;peserta bpjs kesehatan, bpjs, bpjs kesehatan
Gaduh Pasien BPJS Tak Dirawat di IGD karena Kista, Dokter Soroti Hal Ini;https://health.detik.com/berita-detikhealth/d-7488310/gaduh-pasien-bpjs-tak-dirawat-di-igd-karena-kista-dokter-soroti-hal-ini;"Jakarta-Buntut cekcok dokter dan pendamping pasien BPJS Kesehatan viral di media sosial, muncul usulan perlunya petugas di luar tenaga medis yang tersedia selama 24 jam untuk menjelaskan regulasi jaminan kesehatan nasional (JKN). Pasalnya, ini bukan kali pertama masyarakat mengeluhkan pelayanan yang dipicu kesalahpahaman.Seperti yang terjadi di kasus viral, pendamping pasien dinilai tidak mengetahui regulasi kebutuhan surat rujukan untuk mengakses pelayanan di rumah sakit. Terlebih, kasus tersebut tidak termasuk indikasi kegawatdaruratan medis yang bisa langsung ditangani.Praktisi kesehatan dr Andi Khomeini Takdir mengusulkan petugas khusus yang bisa menjelaskan pembiayaan BPJS di setiap RS.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT""Petugas BPJS Kesehatan harusnya ada yang stay 24/7 di RS menjelaskan kebijakan pembiayaan kepada pasien,"" beber dr Andi dalam akun X pribadinya, dikutip detikcom atas izin yang bersangkutan, Selasa (13/8/2024).""Menjelaskan kebijakan BPJS bukan tupoksi tenaga medis dan teenaga kesehatan, Tenaga medis dan tenaga kesehatan tugas utamanya adalah memikirkan dan melayani kebutuhan medis pasien,"" sambung dia.Respons BPJS KesehatanKepala Humas BPJS Kesehatan Rizzky Anugerah menjelaskan dalam setiap penentuan pelayanan, diperlukan anamnesis atau pemeriksaan awal pasien untuk memastikan yang bersangkutan termasuk kondisi darurat atau tidak.""Sementara, petugas BPJS Kesehatan yang bertugas di RS tidak memiliki kompetensi maupun kewenangan untuk menetapkan pasien JKN mengalami kondisi gawat darurat atau tidak. Apabila pasien JKN mengalami kendala atau memerlukan informasi lebih lanjut, maka dapat menyampaikannya kepada BPJS Kesehatan Siap Membantu (BPJS SATU) di rumah sakit,"" pesan Rizzky saat dihubungi detikcom Selasa (13/8/2024).Foto dan nomor kontak BPJS SATU umumnya sudah tercantum di setiap RS. Peserta JKN juga bisa menyampaikan keluhan melalui beberapa media berikut:Whatsapp (PANDAWA) di nomor 08118165165Aplikasi Mobile JKNBPJS Kesehatan Care Center 165.(naf/naf)";Selasa, 13 Agu 2024 19:49 WIB;viral, bpjs, bpjs kesehatan
Dirut BPJS Ungkap Sederet Layanan yang Tak Ditanggung BPJS Kesehatan;https://health.detik.com/berita-detikhealth/d-7190780/dirut-bpjs-ungkap-sederet-layanan-yang-tak-ditanggung-bpjs-kesehatan;"Jakarta-Direktur Utama BPJS Kesehatan Prof Ali Ghufron menyebut hampir seluruh layanan kesehatan ditanggung pemerintah melalui program Jaminan Kesehatan Nasional (JKN) selama ada indikasi medis. Memang ada beberapa perawatan yang tidak ikut 'dicover', tetapi kebanyakan adalah untuk tujuan estetika.""BPJS menanggung seluruh layanan atas indikasi medis, tetapi memang ada beberapa yang tidak dijamin. Apa itu? Satu, tidak sesuai dengan prosedur dan peraturan yang berlaku,"" bebernya dalam akun X resmi BPJS Kesehatan seperti dilihatdetikcomSelasa (13/2/2024).""Kedua, pelayanan yang sifatnya kosmetik biar tambah cantik dan tiga infertilitas, yaitu kepingin punya anak sebagai contoh,"" sambung dia.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENTProf Ghufron juga menyebut kecelakaan yang sudah dijamin oleh program jaminan kecelakaan kerja tidak ikut dibiayai BPJS Kesehatan. Begitu pula untuk program vaksinasi yang sebelumnya ditanggung pemerintah, misalnya vaksin COVID-19. Hanya penerima bantuan iuran BPJS yang masih mendapatkan manfaat tersebut pasca status darurat COVID-19 dicabut.Sementara untuk perawatan estetik yang tidak masuk dalam tanggungan biaya BPJS Kesehatan adalah ortodonsia atau ortodontis.""Pemerataan, biasanya pakai kawat gigi, tentu tidak masuk,"" terang Prof Ghufron.""Demikian juga layanan yang sudah masuk program yang lain oleh pemerintah sebagai contoh umpamanya vaksinasi COVID-19, gangguan kesehatan akibat menyakiti diri sendiri, upaya atau percobaan bunuh diri,"" tuturnya, menambahkan.Gangguan kesehatan akibat hobi yang membahayakan juga ditegaskan Prof Ghufron tidak masuk dalam daftar layanan kesehatan yang ditanggung BPJS Kesehatan. Masyarakat diimbau untuk mengedepankan upaya promotif dan preventif, alih-alih menunggu sakit sampai akhirnya perlu menjalani perawatan di RS.Pembiayaan yang dikeluarkan dari langkah pencegahan jauh lebih tinggi daripada perawatan dan pengobatan.(naf/kna)";Selasa, 13 Feb 2024 15:02 WIB;kesehatan, layanan kesehatan, bpjs, bpjs kesehatan
Bos BPJS Kesehatan Beri Isyarat Iuran Kelas 1-2 Naik, Ini Alasannya;https://health.detik.com/berita-detikhealth/d-7481054/bos-bpjs-kesehatan-beri-isyarat-iuran-kelas-1-2-naik-ini-alasannya;"Jakarta-Direktur Utama BPJS Kesehatan Ali Ghufron Mukti mengatakan adanya kemungkinan kenaikan iuran kepesertaan pasca layanan Kelas Rawat Inap Standar (KRIS) berlaku.Sebelumnya diberitakan, Peraturan Presiden (Perpres) No 59 Tahun 2024 tentang Perubahan Ketiga Perpres Jaminan Kesehatan yang diteken oleh Presiden Joko Widodo pada Rabu (8/5) menyebut KRIS akan menggantikan kelas BPJS Kesehatan yang efektif pada 30 Juni 2025.Pasal 103A dan Pasal 104 menyatakan penerapan fasilitas ruang perawatan pada layanan rawat inap kelas standar nantinya bisa diterapkan di seluruh fasilitas RS maupun sebagian fasilitas.ADVERTISEMENTSCROLL TO CONTINUE WITH CONTENT""Bisa, bisa naik (iuran). Saya kira ini sudah waktunya naik ya. Tergantung pemerintah dan tergantung banyak pihak,"" ujar Ghufron kepada wartawan di Krakatau Ballroom Taman Mini Indonesia Indah (TMII), Kamis (8/8/2024).Menurut Ghufron, potensi kenaikan hanya akan ada untuk kelas 1 dan 2. Sementara, masyarakat di kelas 3 dipastikan tidak akan dibebankan kenaikan iuran.""Kalau kelas 3 nggak akan naik. Kelas 3 itu kan, mohon maaf, umumnya penerima bantuan iuran (PBI) kan kelas 3,"" ucapnya.Ghufron menambahkan, jika nantinya iuran KRIS BPJS Kesehatan diputuskan naik, akan diatur minimal dalam Peraturan Presiden (Perpres).""Pasti di Perpres, minimal Perpres. Tapi mengenai KRIS sendiri di Perpres itu disebutkan terkait iuran, paket manfaat, dan lain sebagainya dijelaskan lebih detail,"" kata Ghufron.Saat ini, Ghufron mengapresiasi masyarakat karena sudah mulai patuh untuk membayar iuran BPJS Kesehatan. Menurutnya, tingkat kepatuhan pembayaran naik lebih dari 20 persen dari sebelumnya.""Tingkat kepatuhan pembayaran relatif bagus. Dulu angka pengumpulan itu mungkin hanya 65 atau 70 persen. Sekarang kita bisa 95 persen, bahkan lebih. Targetnya 98 persen,"" kata Ghufron.""Kenapa kita bisa 90 persen lebih? Karena sekarang namanya payment methods (metode pembayaran) dari kanal pembayaran itu lebih dari 950 ribu,"" sambungnya.(dpy/naf)";Jumat, 09 Agu 2024 11:08 WIB;iuran bpjs, bpjs, kris bpjs kesehatan, kris
