title,url,text,date,tags
"Lansia di Jaksel Rugi Rp1 M Usai Jadi Korban Penipuan, Pelaku Pura-pura Jadi Petugas BPJS dan Polisi",https://news.indozone.id/news/915064988/lansia-di-jaksel-rugi-rp1-m-usai-jadi-korban-penipuan-pelaku-pura-pura-jadi-petugas-bpjs-dan-polisi,"INDOZONE.ID - Seorang lansia berinisial HS (75) di Jakarta Selatan (Jaksel) menjadi korban penipuan hingga harus mengalami kerugian mencapai Rp1 miliar. Pelaku melakukan aksinya dengan modus berpura-pura menjadi pegawai BPJS hingga polisi.  Penipuan ini dialami oleh korban pada Kamis 5 September 2024. Penipuan ini bermula dari korban yang menerima telepon dari pelaku.  ""Kejadian berawal ketika korban dihubungi oleh pelaku yang mengaku dari BPJS memberitahu bahwa BPJS milik korban ada yang menggunakan untuk transaksi obat-obatan terlarang,"" kata Kabid Humas Polda Metro Jaya, Kombes Pol Ade Ary Syam Indradi, kepada wartawan, Sabtu (7/9/2024).  Kemudian, korban kembali dihubungi oleh pelaku. Kali ini, pelaku mengaku sebagai anggota kepolisian.  ""Pelaku lainnya menghubungi korban yang mengaku petugas kepolisian dari Polwiltabes Bandung dan memberitahu, bahwa saldo di rekening korban hilang diambil oleh seseorang dan mengarahkan korban untuk mengganti PIN,"" kata Ade Ary.  ""Setelah itu, korban mendapati saldo berkurang di rekening Bank Cimb Niaga,"" sambungnya.  Terkini, kasus tersebut ditangani oleh Polres Metro Jakarta Selatan.  ""Ditangani Restro Jaksel,"" pungkasnya.",07-09-2024,"Bank, bank, lansia, polisi, penipuan, pegawai BPJS"
Respon Abdi Dalem Keraton Jogja Soal Wacana BPJS Ketenagakerjaan,https://news.indozone.id/indonesia-hari-ini/914783072/respon-abdi-dalem-keraton-jogja-soal-wacana-bpjs-ketenagakerjaan,"INDOZONE.ID - Salah satu warga Yogyakarta yang menjadi seorang Abdi Dalem di Keraton bernama Purwito mengomentari usulan DPRD Kota Yogyakarta yang mana memasukkan konteks abdi dalem agar substansinya bisa dimasukkan ke dalam Raperda Ketenagakerjaan.  Dirinya mengaku tidak keberatan jika para Abdi Dalem masuk dalam Raperda tersebut, mengingat Keraton sendiri belum memberikan BPJS Kesehatan maupun Ketenagakerjaan bagi mereka (Abdi Dalem) untuk jaminan ketenagakerjaannya.  Serta menurutnya tak dipungkiri pentingnya memiliki BPJS sebagai perlindungan kerja bagi Abdi Dalem. Mengingat, banyak dari Abdi Dalem yang usianya sudah sepuh.  Meski begitu, jika terjadi sesuatu di keraton, mereka akan memberikan perhatian bagi Abdi Dalem yang bersangkutan.  “Di keraton tidak ada gaji, tapi ada kekucah (ucapan terima kasih).Tapi kalau itu dimasukkan ya boleh-boleh saja"", katanya saat dikonfirmasi via telepon, Jumat (21/6/2024).  Meski di Keraton tidak ada istilah pemberian gaji, pria paruh baya ini yang telah mengabdi sebagai Abdi Dalem di Keraton sekitar 25 tahun diakuinya senang menjadi seorang Abdi Dalem merupakan sebuah panggilan jiwa untuk turut melestarikan budaya Jawa.  “Saya tertarik menjadi Abdi Dalem karena meneruskan trah keluarga saya, dan saya ingin melestarikan budaya bersumber di keraton,” imbuhnya.  Disisi lain, Purwito menuturkan, juga ada tambahan penghasilan, dengan nominal yang berbeda-beda. Penghasilan ini sesuai tingkatan Abdi Dalem.  ""Ada tambahan dari Keraton sebagai bentuk terima kasih kepada kami. Ini diberikan setiap empat bulan sekali"", jelasnya.  Saat ditanya apakah ada kemungkinan risiko kecelakaan kerja di Keraton, ia mengaku tidak ada. Justru kemungkinan risiko terjadi kecelakaan dijalan saat menuju Keraton.  “Di dalam Keraton kemungkinan tidak ada risikonya karena kami bekerja tidak banyak mengeluarkan tenaga. Tapi dengan kondisi lalu lintas sekarang, kemungkinan risikonya di perjalanan,” anggapnya.",21-06-2024,"bpjs ketenagakerjaan, yogyakarta, abdi dalem, DPRD Kota Yogyakarta, Abdi Dalem, Yogyakarta, dprd kota yogyakarta"
Alasan DPRD Kota Jogja Usulkan Abdi Dalem Dapat BPJS Ketenagakerjaan,https://news.indozone.id/news/914774986/alasan-dprd-kota-jogja-usulkan-abdi-dalem-dapat-bpjs-ketenagakerjaan,"INDOZONE.ID - Dewan Perwakilan Rakyat Daerah (DPRD) Kota Yogyakarta menyoroti kesejahteraan para pelayan atau abdi dalem di Keraton Kasultanan Ngayogyakarta Hadiningrat dan Kadipaten Pakualaman Yogyakarta, yang perlu mendapatkan perlindungan kerja yang lebih layak.  Status abdi dalem yang ada di Keraton maupun Kadipaten, secara kelembagaan dan tata aturan masuk ranah khusus (lex specialis) diatur dalam peraturan keistimewaan di luar Peraturan Daerah (Perda).  Hal tersebut membuat jaminan perlindungan kerja abdi dalem belum terlalu kuat dari perspektif ketenagakerjaan.  Sebelumnya, DPRD Kota Yogyakarta telah mengadakan pertemuan melalui Rapat Dengar Pendapat Umum (RDPU) dengan perwakilan Keraton Kasultanan dan Kadipaten Pakualaman untuk membahas perihal Rancangan Peraturan Daerah (Raperda) Kota Yogyakarta mengenai tenaga kerja.  Hal tersebut disampaikan oleh Anggota Komisi 4 DPRD Kota Yogyakarta, Krisnadi Setiyawan.  Pihaknya menawarkan kepada perwakilan Keraton maupun Kadipaten untuk memasukkan konteks abdi dalem agar substansinya bisa dimasukkan ke dalam Raperda Ketenagakerjaan. Mengingat kedua lembaga tersebut berada di wilayah Kota Yogyakarta.  “Kemarin waktu RDPU kita undang untuk badan hukum warisan budaya, akan kita atur dalam aturan ketenagakerjaan, konteksnya adalah perlindungan, bukan aspek umum, tapi aspek budaya ketenagakerjaan, dalam aspek perlindungan tenaga kerja,” kata Krisnadi kepada wartawan, Rabu (19/6/2024).  Karena tidak dihadiri oleh para Pengageng, kedua perwakilan dari Keraton maupun dari Kadipaten belum memutuskan apakah akan masuk pada Raperda tersebut.  Namun, kedua pihak mengaku menerima usulan yang berkenaan dengan perlindungan yang menjamin hak abdi dalem dalam bekerja.  “Kalau aspek perlindungan yang mereka terima, tapi untuk pengaturan Raperdanya akan matang ke Pengageng masing-masing. Tentunya akan ada puncak tertinggi, kalau Keraton kan Sri Sultan dan Kalau Kadipaten ya Adipati Paku Alam. Mereka mau tidak ini masuk objek Raperda, kalau iya (setuju), mereka mau tidak mau harus ikut sesuai Raperda, terutama jaminan sosial dan perlindungan tenaga kerja,” terangnya.  Meskipun Raperda tersebut mengacu pada Undang-Undang Cipta Kerja (UU Ciptaker), dirinya menyebut tetap menjadikan nilai kelokalan sebagai pertimbangan dalam menetapkan aturan tersebut.",19-06-2024,"DPRD Kota Yogyakarta, Keraton, dprd kota yogyakarta, abdi dalem"
Iuran BPJS Kesehatan Bisa Dicairkan Jika Peserta Tak Pernah Sakit? Ini Penjelasannya,https://news.indozone.id/news/914726440/iuran-bpjs-kesehatan-bisa-dicairkan-jika-peserta-tak-pernah-sakit-ini-penjelasannya,"INDOZONE.ID - BPJS Kesehatan adalah program asuransi kesehatan sosial di Indonesia yang bertujuan untuk memberikan jaminan kesehatan bagi seluruh warga negara.  Salah satu pertanyaan yang sering muncul di kalangan peserta adalah apakah iuran BPJS Kesehatan bisa dicairkan oleh peserta yang tidak pernah sakit.  Bisakah Iuran BPJS Kesehatan dicairkan, berikut adalah penjelasan mengenai hal ini.  Menurut Peraturan Presiden No. 82 Tahun 2018 tentang Jaminan Kesehatan, tidak ada ketentuan yang mengizinkan pengembalian atau pencairan iuran BPJS Kesehatan.  Semua dana yang terkumpul dari iuran peserta digunakan untuk keperluan pelayanan kesehatan bagi seluruh peserta program​.  Alasannya adalah BPJS Kesehatan beroperasi berdasarkan prinsip gotong royong. Artinya, iuran yang dibayarkan oleh peserta digunakan untuk membiayai pengobatan peserta lain yang sedang sakit.  Sistem ini memastikan bahwa semua peserta, baik yang sering sakit maupun yang jarang sakit, mendapatkan akses ke layanan kesehatan yang berkualitas.  Meskipun tidak pernah sakit, peserta tetap mendapatkan proteksi finansial jika sewaktu-waktu membutuhkan perawatan medis yang mungkin mahal.  Secara keseluruhan, meskipun iuran BPJS Kesehatan tidak dapat dicairkan oleh peserta yang tidak pernah sakit, keikutsertaan dalam program ini tetap memberikan banyak manfaat.  Program ini dirancang untuk memberikan perlindungan kesehatan bagi seluruh warga negara.  Oleh karena itu, penting untuk memahami bahwa iuran yang dibayarkan bukan hanya untuk kepentingan individu, tetapi juga untuk mendukung sistem kesehatan yang lebih luas di Indonesia.",05-06-2024,"BPJS Kesehatan, iuran bpjs kesehatan, peserta yang tidak pernah sakit, bpjs kesehatan, Iuran BPJS Kesehatan, Peserta BPJS Kesehatan"
"3 Cara Cetak Kartu BPJS Kesehatan Secara Online dengan Mudah, Bisa via HP",https://news.indozone.id/news/914724357/3-cara-cetak-kartu-bpjs-kesehatan-secara-online-dengan-mudah-bisa-via-hp,"INDOZONE.ID - proses pencetakan kartu BPJS Kesehatan dapat dilakukan secara online, memudahkan peserta dalam mengelola kepesertaan mereka.  Kartu ini berfungsi sebagai identitas peserta saat berobat di fasilitas kesehatan yang bekerja sama dengan BPJS Kesehatan.  Bagi peserta yang belum memiliki kartu fisik, kini tidak perlu lagi repot datang ke kantor BPJS Kesehatan untuk mencetaknya. Kamu dapat mencetak kartu BPJS Kesehatan secara online.  Berikut 3 cara mudah yang bisa kamu lakukan:  1. Melalui Website Resmi BPJS Kesehatan  Salah satu cara paling umum untuk mencetak kartu BPJS Kesehatan secara online adalah melalui website resmi BPJS Kesehatan.  Kunjungi website BPJS Kesehatan di https://www.bpjs-kesehatan.go.id/.  Masuk ke akun Anda.  Pilih menu ""Cetak Kartu"".  Masukkan NIK atau nomor kartu BPJS Kesehatan Anda.  Klik ""Cetak"".  Kartu BPJS Kesehatan akan tertampil dalam format PDF. Anda dapat mencetaknya menggunakan printer.  2. Melalui Aplikasi Mobile JKN  Aplikasi Mobile JKN merupakan aplikasi resmi dari BPJS Kesehatan yang dapat diunduh di Play Store dan App Store. Berikut langkah-langkahnya:  Pilih menu ""Kartu"".  Klik ikon kartu BPJS Kesehatan Anda.  Pilih ""Cetak Kartu"".  Pilih format file yang diinginkan (PDF atau JPG).  Klik ""Cetak"".  Kartu BPJS Kesehatan Anda akan terunduh secara otomatis.  3. Cetak Kartu BPJS Kesehatan melalui Email  BPJS Kesehatan juga menyediakan layanan pencetakan kartu BPJS Kesehatan melalui email. Berikut langkah-langkahnya:  Buka aplikasi Mobile JKN dan login menggunakan nomor kartu BPJS Kesehatan dan password Anda.  Pilih menu ""Kartu"".  Klik ikon kartu BPJS Kesehatan.  Pilih ""Kirim ke Email"".  Masukkan alamat email tujuan.  Klik ""Kirim"".  Kamu akan menerima email berisi file kartu BPJS Kesehatan dalam format PDF.  Dengan adanya berbagai cara untuk mencetak kartu BPJS Kesehatan secara online, peserta JKN dapat dengan mudah mengakses identitas kepesertaanmu tanpa harus mengunjungi kantor BPJS Kesehatan secara langsung.  Kemudahan ini memungkinkan peserta untuk lebih efisien dalam mengelola kepesertaan mereka, serta meningkatkan aksesibilitas terhadap layanan kesehatan yang disediakan oleh BPJS Kesehatan.  Konten ini adalah kiriman dari Z Creators Indozone. Yuk bikin cerita dan konten serumu serta dapatkan berbagai reward menarik! Let's join Z Creators dengan klik di sini.",04-06-2024,"kartu BPJS Kesehatan, Kartu BPJS Kesehatan, Cetak Kartu BPJS, cara cetak kartu BPJS online, Z Creators, cetak kartu bpjs kesehatan, cetak kartu bpjs"
Catat! Mulai Juli 2024 BPJS Jadi Syarat Bikin dan Perpanjang SIM!,https://news.indozone.id/indonesia-hari-ini/914723055/catat-mulai-juli-2024-bpjs-jadi-syarat-bikin-dan-perpanjang-sim,"INDOZONE.ID - Korps Lalu Lintas (Korlantas) Polri mengeluarkan kebijakan baru ihwal permohonan pembuatan maupun perpanjangan surat izin mengemudi (SIM) yang kini harus memiliki BPJS Kesehatan.  Aturan tersebut akan mulai dilakukan uji coba pada awal bulan depan pada tahun ini.  ""Akan dilakukan uji coba,"" kata Kasi Binyan Subdit SIM Ditregident Korlantas Polri AKBP Faisal Andri Pratomo kepada wartawan, Selasa (4/6/2024).  Aturan ini bakal diuji coba mulai tanggal 1 Juli 2024.  Uji coba ini akan berlaku di tujuh daerah antara lain di wilayah Kepolisian Polda Aceh, Polda Sumatera Barat, Polda Sumatera Selatan, Polda Metro Jaya, Polda Kalimantan Timur, Polda Bali dan Polda Nusa Tenggara Timur.  ""(Uji coba) ditujuh wilayah kepolisian daerah,"" ucapnya.  Aturan baru ini merupakan tindaklanjut dari Instruksi Presiden (Inpres) nomor satu tahun 2022. Inpres ini mengatur ihwal kewajiban masyarakat menjadi peserta aktif BPJS Kesehatan.  Writer: Victor Median",04-06-2024,"BPJS Kesehatan Syarat Bikin SIM, sim, Syarat Baru Bikin SIM, BPJS Kesehatan, bpjs kesehatan, Korlantas Polri, korlantas polri, SIM"
"Lupa Nomor BPJS Ketenagakerjaan? Tenang, Begini 4 Cara Mudah Mengeceknya!",https://news.indozone.id/news/914692551/lupa-nomor-bpjs-ketenagakerjaan-tenang-begini-4-cara-mudah-mengeceknya,"INDOZONE.ID - BPJS Ketenagakerjaan adalah lembaga yang memberikan jaminan sosial bagi para pekerja di Indonesia.  Sebagai peserta BPJS Ketenagakerjaan, nomor kepesertaanmu sangat penting untuk berbagai keperluan, seperti klaim jaminan dan cek saldo.  Namun, bagaimana jika kamu lupa nomor BPJS Ketenagakerjaan?  Jangan khawatir, ada beberapa cara mudah untuk mengeceknya kembali. Berikut 4 cara yang bisa kamu coba:  1. Melalui Aplikasi JMO  Aplikasi JMO merupakan aplikasi resmi dari BPJS Ketenagakerjaan, yang dapat diunduh melalui Google Play Store atau Apple App Store. Berikut langkah-langkahnya:  Cari aplikasi JMO di toko aplikasi ponselmu, unduh, dan pasang aplikasi tersebut. Jika sudah memiliki akun, login menggunakan email atau nomor handphone yang terdaftar. Jika belum, lakukan pendaftaran dengan mengikuti instruksi yang ada. Setelah berhasil login, kamu dapat melihat informasi lengkap tentang kepesertaan BPJS Ketenagakerjaanmu, termasuk nomor BPJS Ketenagakerjaan.  2. Mengunjungi Situs Resmi BPJS Ketenagakerjaan  Selain melalui aplikasi, kamu juga dapat mengecek nomor BPJS Ketenagakerjaan melalui situs resmi BPJS Ketenagakerjaan:  Buka situs resmi BPJS Ketenagakerjaan di https://www.bpjsketenagakerjaan.go.id/. Masuk menggunakan akun yang sudah terdaftar. Jika belum memiliki akun, lakukan registrasi terlebih dahulu. Setelah berhasil login, kamu dapat menemukan nomor BPJS Ketenagakerjaan di bagian informasi kepesertaan.  3. Melalui SMS  BPJS Ketenagakerjaan juga menyediakan layanan pengecekan nomor melalui SMS. Berikut caranya:  Kirim SMS ke nomor 175 dengan format: DAFTAR#NIK#NAMA#TANGGAL_LAHIR. Contoh: DAFTAR#1234567890#Alvino_Pratama#03092002. Kamu akan menerima balasan SMS berisi nomor BPJS Ketenagakerjaanmu.  Pastikan kamu menggunakan nomor telepon yang terdaftar di BPJS Ketenagakerjaan untuk mendapatkan respons yang benar.  4. Menghubungi Call Center BPJS Ketenagakerjaan  Jika kamu masih kesulitan mengecek nomor BPJS Ketenagakerjaan yang lupa dengan cara-cara di atas, kamu bisa langsung menghubungi call center BPJS Ketenagakerjaan untuk mendapatkan bantuan:  Telepon Call Center: Hubungi nomor 175. Ikuti petunjuk dari operator dan berikan informasi yang dibutuhkan seperti NIK atau data diri lainnya. Dapatkan Nomor BPJS Ketenagakerjaan: Setelah verifikasi data berhasil, petugas akan memberikan informasi tentang nomor BPJS Ketenagakerjaanmu.  Dengan keempat cara di atas, kamu tidak perlu lagi khawatir jika lupa nomor BPJS Ketenagakerjaan.  Pastikan kamu selalu menyimpan data penting dengan baik dan mengakses informasi melalui saluran resmi untuk keamanan dan kemudahan.  Konten ini adalah kiriman dari Z Creators Indozone. Yuk bikin cerita dan konten serumu serta dapatkan berbagai reward menarik! Let's join Z Creators dengan klik di sini.",27-05-2024,"bpjs ketenagakerjaan, nomor BPJS, BPJS, nomor BPJS Ketenagakerjaan, bpjs, Z Creators, BPJS Ketenagakerjaan, nomor bpjs, nomor bpjs ketenagakerjaan"
"Daftar Iuran BPJS Kesehatan Kelas Rawat Inap 1, 2, dan 3 Setelah Penerapan KRIS",https://news.indozone.id/news/914658111/daftar-iuran-bpjs-kesehatan-kelas-rawat-inap-1-2-dan-3-setelah-penerapan-kris,"INDOZONE.ID - Seiring dengan rencana penerapan Kelas Rawat Inap Standar (KRIS) yang dijadwalkan berlaku paling lambat 30 Juni 2025, iuran BPJS Kesehatan untuk kelas rawat inap akan tetap mengikuti ketentuan yang ada.  Hingga Perpres Nomor 59 Tahun 2024 diberlakukan, iuran peserta JKN masih merujuk pada Perpres 64 Tahun 2020.  Menurut Kepala Humas BPJS Kesehatan, Rizzky Anugerah, peserta JKN segmen Pekerja Bukan Penerima Upah (PBPU) atau peserta mandiri membayar iuran sebagai berikut:  Kelas 1: Rp150.000 per bulan  Kelas 2: Rp100.000 per bulan  Kelas 3: Rp35.000 per bulan (dengan subsidi pemerintah Rp7.000, sehingga peserta membayar Rp28.000)  Rizzky menekankan bahwa tarif iuran JKN saat ini belum berubah. Evaluasi penerapan KRIS akan menjadi dasar untuk menetapkan manfaat, tarif, dan iuran JKN ke depan.  KRIS bertujuan meningkatkan standar kualitas pelayanan kesehatan di seluruh wilayah, baik perkotaan maupun pedesaan. Pelayanan bagi peserta JKN tetap berjalan seperti biasa sampai peraturan baru diterapkan.  1. Tidak Ada Penghapusan Kelas BPJS Kesehatan  BPJS Kesehatan menegaskan bahwa kelas rawat inap 1, 2, dan 3 tidak akan dihapus. Rizzky Anugerah menjelaskan bahwa Perpres Nomor 59 Tahun 2024 tentang Jaminan Kesehatan tidak menghapus jenjang kelas rawat inap.  Implementasi KRIS akan diatur lebih lanjut oleh Menteri Kesehatan. Hingga kini, regulasi turunan Perpres tersebut belum diterbitkan, dan kebijakan KRIS masih dalam tahap evaluasi.  2. Fasilitas Rawat Inap  Kelas 1: Ruang rawat inap untuk 2-4 orang. Pasien dapat mengajukan pindah ke ruang VIP dengan biaya tambahan.  Kelas 2: Ruang rawat inap untuk 3-5 orang. Peserta dapat mengajukan pindah ke kelas 1 atau VIP dengan biaya tambahan.  Kelas 3: Ruang rawat inap untuk 4-6 orang. Jika penuh, pasien dapat dirujuk ke fasilitas kesehatan lain yang tersedia.  Dengan penjelasan ini, diharapkan peserta BPJS Kesehatan memahami bahwa kelas rawat inap tetap ada dan layanan terus ditingkatkan melalui penerapan KRIS.  Konten ini adalah kiriman dari Z Creators Indozone.Yuk bikin cerita dan konten serumu serta dapatkan berbagai reward menarik! Let's join Z Creators dengan klik di sini.",16-05-2024,"iuran BPJS Kesehatan, kelas 1, KRIS, BPJS Kesehatan, Kelas Rawat Inap, Kelas BPJS Kesehatan, Kelas 3, Kelas 1, bpjs kesehatan, Z Creators, kelas 2, iuran peserta JKN, Kelas 2, kelas rawat inap"
"Presiden Jokowi Resmi Hapus Klasifikasi Kelas BPJS Kesehatan, Diganti dengan Sistem KRIS",https://news.indozone.id/news/914649464/presiden-jokowi-resmi-hapus-klasifikasi-kelas-bpjs-kesehatan-diganti-dengan-sistem-kris,"INDOZONE.ID - Presiden Joko Widodo secara resmi menghapus sistem klasifikasi kelas dalam perawatan menggunakan BPJS Kesehatan. Sebagai pengganti sistem kelas yang sebelumnya terdiri dari Kelas 1, 2, dan 3, pemerintah akan menerapkan sistem Kelas Rawat Inap Standar (KRIS).  Dengan sistem baru ini, semua peserta BPJS Kesehatan akan mendapatkan kualitas ruang perawatan yang relatif serupa, tanpa perbedaan kelas.  Implementasi Bertahap Sistem KRIS  Pemerintah akan menerapkan sistem KRIS secara bertahap di seluruh rumah sakit yang bekerja sama dengan BPJS Kesehatan.  Targetnya, sistem KRIS akan diterapkan di semua rumah sakit tersebut paling lambat pada 30 Juni 2025. Selama masa transisi ini, rumah sakit diperbolehkan untuk melaksanakan sistem KRIS secara sebagian.  Peran Menteri Kesehatan dalam Evaluasi  Menteri Kesehatan akan bertugas mengevaluasi penerapan sistem KRIS di setiap rumah sakit. Evaluasi ini akan mencakup penilaian terhadap ruang-ruang perawatan yang dimiliki masing-masing rumah sakit. Hasil dari evaluasi tersebut akan digunakan untuk menentukan manfaat, tarif, dan iuran BPJS Kesehatan di masa mendatang.  Manfaat dari Sistem KRIS  1. Kualitas Perawatan yang Merata: Dengan penerapan sistem KRIS, diharapkan tidak ada lagi perbedaan kualitas perawatan berdasarkan kelas. Semua peserta BPJS Kesehatan akan mendapatkan akses ke ruang perawatan yang memiliki standar kualitas yang sama. Ini akan mengurangi disparitas dalam layanan kesehatan yang diterima oleh pasien.  2. Efisiensi dalam Pengelolaan: Sistem KRIS diharapkan dapat meningkatkan efisiensi dalam pengelolaan rumah sakit. Dengan standar ruang perawatan yang seragam, rumah sakit dapat lebih mudah dalam mengatur sumber daya dan fasilitas yang dimiliki.  Tantangan dalam Penerapan Sistem KRIS  1. Transisi yang Kompleks: Mengubah sistem yang sudah lama berjalan menjadi sesuatu yang baru tentu bukan tanpa tantangan. Rumah sakit perlu menyesuaikan berbagai aspek operasional, mulai dari penataan ruang perawatan hingga penyesuaian tarif layanan.  2. Penyesuaian Iuran: Penentuan iuran BPJS Kesehatan yang baru akan menjadi tantangan tersendiri. Iuran yang terlalu tinggi dapat memberatkan peserta, sementara iuran yang terlalu rendah mungkin tidak cukup untuk menutupi biaya operasional rumah sakit.",14-05-2024,"Presiden Jokowi Hapus Klasifikasi Kelas BPJS, KRIS BPJS, BPJS Kesehatan, jokowi, sistem KRIS, KRIS BPJS KESEHATAN, klasifikasi kelas BPJS dihapus, BPJS, bpjs kesehatan, bpjs, Kelas Rawat Inap Standar, presiden jokowi, Sistem KRIS"
"Cara Cetak Kartu BPJS, Bisa Lewat HP Tidak Perlu Capek Antri Tinggal Cetak",https://news.indozone.id/news/914646806/cara-cetak-kartu-bpjs-bisa-lewat-hp-tidak-perlu-capek-antri-tinggal-cetak,"INDOZONE.ID - Sebagai masyarakat di Indonesia, kamu pasti tau sama jaminan kesehatan BPJS, kan? Yap, program jaminan kesehatan satu ini memang mulai direncanakan pemerintah dan diprioritaskan buat warga Indonesia. Salah satu bukti kamu sudah ikuti program ini adalah sudah punya kartu dengan cara cetak kartu BPJS.  Kartu BPJS ini ukurannya kecil, sehingga mudah dibawa ke mana-mana. Untuk menggunakan kartu BPJS juga sangat mudah dan praktis pastinya. Cukup datang ke fasilitas kesehatan atau faskes yang jadi tempat rujukan kartu BPJS kamu.  Namun, untuk mendapatkan kartu BPJS harus dilakukan secara mandiri. Nah, kalau kamu masih bingung gimana cara cetak kartu BPJS, yuk ikuti artikel menarik ini.  Rangkuman Langkah dan Cara Cetak Kartu BPJS Online yang Wajib Kamu Tau  Kartu jaminan kesehatan BPJS memang lebih baik dicetak. Pasalnya kalau kamu cetak kartu ini, kamu bakalan lebih mudah menunjukan nomor jaminan kesehatan mu saat registrasi pengobatan.  Selain pengguna baru, pengguna lama yang kehilangan kartu tentu juga harus tau cara cetak kartu BPJS yang hilang. Jadi saat kehilangan kartu pun kamu nggak perlu panik lagi.  Mencetak kartu BPJS ini pun bisa dilakukan secara online, loh. Ini dia berbagai cara cetak secara online untuk kartu jaminan kesehatan ini.  Cetak Online Kartu BPJS Lewat Web Resminya  Cara pertama yang bisa dilakukan untuk mencetak kartu ini pastinya adalah melalui web aslinya. Kalau kamu mau cetak kartu satu ini lewat web resminya, cukup ikuti cara-cara ini aja, ya.  Pakai browser yang ada di hp, laptop, atau PC kamu dan kunjungi situs BPJS Kesehatan. Saat masuk ke situs, kamu akan diminta login dengan isi email yang kamu pakai buat daftar BPJS. Kalau udah berhasil masuk, selanjutnya kamu tinggal pilih opsi cari kartu aja. Masukin NIK milik mu di kolom pencarian kartu dan tekan cari kartu. Kalau kartu kamu udah ketemu, klik cetak kartu, ya.  Pastikan hp, laptop, atau PC kamu udah tersambung ke printer dan langsung aja cetak kartunya.  Cara Cetak Kartu BPJS di Mobile JKN yang Mudah Dilakukan  Selain lewat website resminya BPJS, untuk mencetak kartu, kamu juga bisa pakai aplikasi sari BPJS sendiri. Nama aplikasi dari BPJS tersebut adalah Mobile JKN.  Tenang, Mobile JKN ini tersedia buat semua perangkat, kok. Mau itu laptop, PC, komputer, bahkan hp. Bahkan juga tersedia buat Android, Ios, sampai Windows.  Buat cetak kartu pakai Mobile JKN juga mudah banget caranya, kok. Kalau masih bingung tentang cara pakai Mobile JKN, yuk ikuti cara berikut ini.",14-05-2024,"cara cetak kartu BPJS yang hilang, cara cetak kartu bpjs ketenagakerjaan, cara cetak kartu bppjs di mobile jkn, Cara Cetak Kartu BPJS Online, cara cetak kartu bpjs yang hilang, cara cetak kartu BPJS online"
